latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
40.77456002,-73.90997402,3,0,,1,358,150
40.77388204,-73.91597969,1,5,0.65,1,182,125
40.7734222,-73.90872683,2,40,4.3,4,294,95
40.78039349,-73.91624673,2,29,2.93,1,112,70
40.77116067,-73.9057088,1,28,6.04,4,293,199
40.77435777,-73.90760018,3,1,0.27,1,131,75
40.778418,-73.9254853,7,0,,1,365,175
40.7770698,-73.91397641,1,2,0.13,1,0,80
40.77507488,-73.91718398,1,0,,1,364,160
40.77011739,-73.90088003,5,8,0.88,2,279,120
40.77171381,-73.90801896,3,6,2.31,1,0,80
40.77939945,-73.91645848,1,14,1.09,2,20,22
40.77685186,-73.90929669,7,0,,1,351,97
40.7727588,-73.9022083,3,9,0.29,1,0,100
40.77187926,-73.91554672,1,4,0.22,1,90,200
40.7701078,-73.89925698,1,144,6.34,3,360,40
40.7746587,-73.90418818,60,5,0.13,1,265,100
40.76947604,-73.89979207,1,137,6.06,3,362,40
40.77535647,-73.90781307,1,73,6.7,1,305,120
40.77093144,-73.91725775,1,65,1.36,1,335,69
40.7773992,-73.91078851,3,1,0.32,1,364,68
40.77741802,-73.91561388,5,6,0.22,1,271,115
40.77530895,-73.9099329,1,0,,1,365,450
40.77472268,-73.90993071,1,2,0.14,1,0,35
40.77530359,-73.902732,3,56,2.71,1,251,225
40.77165365,-73.90177064,1,31,1.83,1,363,130
40.77296895,-73.91603792,2,102,2.96,1,264,160
40.7746896,-73.90727889,1,81,4.58,1,359,45
40.77539391,-73.90962011,5,0,,1,334,200
40.77732008,-73.91199367,1,115,1.99,2,363,41
40.77015956,-73.90504939,5,0,,1,274,55
40.776689,-73.91150613,5,1,0.07,1,0,180
40.78390363,-73.90065738,4,3,0.09,1,363,100
40.77915223,-73.91768506,3,3,0.65,1,365,190
40.77779602,-73.91440026,1,0,,1,0,150
40.77348474,-73.91799059,3,3,0.36,1,91,110
40.76911574,-73.89421247,1,1,0.15,2,365,85
40.77431299,-73.9114036,1,0,,1,0,65
40.77531745,-73.90792081,1,0,,1,179,100
40.77775959,-73.92073102,2,5,0.53,1,0,55
40.77318717,-73.91687445,3,0,,2,119,101
40.7785229,-73.90836043,1,0,,1,0,400
40.77707358,-73.90710192,2,20,1.1,1,67,84
40.77587061,-73.91775164,1,5,0.51,1,16,45
40.77420223,-73.91095298,1,34,3.34,1,351,99
40.77655512,-73.91851249,1,0,,1,0,80
40.77524992,-73.90827424,1,5,0.11,4,362,40
40.77906491,-73.91264776,3,9,0.27,1,322,135
40.76897614,-73.89957469,1,162,7.12,3,346,40
40.77503323,-73.91881637,1,89,2.58,4,304,60
40.77777553,-73.90905119,14,0,,1,363,100
40.77804607,-73.91520557,7,22,1.06,1,365,225
40.77974856,-73.90717114,2,2,0.42,1,334,92
40.78366503,-73.91810226,1,0,,1,365,200
40.77496517,-73.91424902,4,9,0.58,1,81,140
40.77157383,-73.90697953,3,3,0.08,1,0,100
40.77269718,-73.91582575,1,64,3.63,5,345,40
40.77141365,-73.9141538,7,1,0.12,1,0,80
40.77752755,-73.90951982,5,22,1.3,2,365,45
40.76782737,-73.89530052,1,0,,1,88,65
40.77263648,-73.90781696,1,45,4.61,4,296,95
40.76921318,-73.90831481,1,74,2.12,6,362,35
40.77018938,-73.90424067,1,0,,4,10,70
40.77650996,-73.91009426,30,5,0.5,2,305,36
40.77209291,-73.91095615,5,8,0.47,8,365,65
40.77178711,-73.89879851,7,1,0.05,1,0,40
40.77011771,-73.91134431,1,4,0.98,1,43,135
